# file	bytes	last-modified  (written by check_release.py --write)
ANDAMAN_&_NICOBAR_ISLANDS.zip	2520239	Tue, 20 Jan 2026 08:56:37 GMT
ANDHRA_PRADESH.zip	22690425	Tue, 20 Jan 2026 09:08:25 GMT
BIHAR.zip	28823531	Tue, 20 Jan 2026 09:08:29 GMT
CHANDIGARH.zip	162993	Tue, 20 Jan 2026 09:08:32 GMT
CHHATTISGARH.zip	27137028	Fri, 17 Apr 2026 10:55:16 GMT
DELHI.zip	2009187	Tue, 20 Jan 2026 09:08:56 GMT
Dadra Nagar Haveli & Daman Diu.zip	110827	Tue, 20 Jan 2026 09:08:46 GMT
GOA.zip	1078822	Tue, 20 Jan 2026 09:08:58 GMT
GUJARAT.zip	33091609	Tue, 20 Jan 2026 09:09:11 GMT
HARYANA.zip	9667232	Tue, 28 Apr 2026 11:42:20 GMT
JHARKHAND.zip	19134070	Tue, 20 Jan 2026 09:09:22 GMT
KARNATAKA.zip	57807553	Fri, 17 Apr 2026 10:55:50 GMT
KERALA.zip	4182966	Tue, 20 Jan 2026 09:09:39 GMT
LAKSHYADWEEP.zip	25823	Tue, 20 Jan 2026 09:09:43 GMT
MADHYA_PRADESH.zip	280668854	Tue, 20 Jan 2026 09:11:52 GMT
MAHARASHTRA.zip	118469859	Tue, 20 Jan 2026 09:10:50 GMT
ODISHA.zip	47514195	Tue, 20 Jan 2026 09:11:07 GMT
PUNDUCHERRY.zip	485176	Tue, 20 Jan 2026 09:11:23 GMT
PUNJAB.zip	14926409	Tue, 20 Jan 2026 09:11:28 GMT
RAJASTHAN.zip	91661022	Tue, 20 Jan 2026 09:12:07 GMT
SIKKIM.zip	5017958	Tue, 20 Jan 2026 09:11:54 GMT
TAMILNADU.zip	29479075	Tue, 20 Jan 2026 09:12:08 GMT
TELANGANA.zip	13253610	Tue, 20 Jan 2026 09:12:14 GMT
TRIPURA.zip	19775520	Tue, 20 Jan 2026 09:12:17 GMT
UTTARAKHAND.zip	16256209	Tue, 20 Jan 2026 09:12:24 GMT
UTTAR_PRADESH.zip	95532790	Fri, 17 Apr 2026 10:56:26 GMT
WEST_BENGAL.zip	34623636	Tue, 20 Jan 2026 09:12:42 GMT
